Material,Yarn Denier,Material description,Material type,Fabric Construction Code,Fabric Processing Code,Cord Density Code,Fill Cord,Linear Fill Cord Weight,Picks per Meter,Woven Fabric Width,Calculated Ends per Inch,Linear Fill Cord Weight DEN,Fabric Squarewoven Construction Code,Wire Construction Code,Cable Construction Code,Source,Cable Bead Coating,Gauge,Bead Inside Diameter,Component Weight,Fabric Processing Code.1
RFK00006,850,850/1 0.013 26EPI N66 MONOFIL TOEGUARD,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFK00007,850,850/1 0.013 26EPI N66 MONOFIL TOEGUARD,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFK00008,4100,4100 DENIER NYLON66 MONOFIL 4100C 14EPI,FABR,,,,,0,0,62.0,14.0,0,,,,Fabrics all Fields,,,,,
RFK00009,9000,9000/1 0.042 12 EPI HYTEN FABRIC,FABR,,,,,0,0,61.0,12.0,0,,,,Fabrics all Fields,,,,,
RFK00010,4000,4000D NYLON MONOFILAMENT AT 18EPI,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFK00011,9000,9000/1 0.042 12 EPI HYTEN FABRIC,FABR,,,,,0,0,59.0,12.0,0,,,,Fabrics all Fields,,,,,
RFK00012,730,"730/3 NYLON 6,6 TWISTED MONOFIL 21 EPI",FABR,,,,,0,0,62.0,21.0,0,,,,Fabrics all Fields,,,,,
RFKB15JR,3000,3000/1 0.042 15 EPI HYTEN FABRIC,FABR,,,,,0,0,62.0,15.0,0,,,,Fabrics all Fields,,,,,
RFKB15WF,3000,3000/1 0.025 15 EPI HYTEN NYLON FABRIC,FABR,,,,,0,0,62.0,15.0,0,,,,Fabrics all Fields,,,,,
RFKC14DH,4000,"NYLON, N6.6 MONOFILAMENT, 4400/1, 14,00",FABR,KC,DH,14,NON,221,59,62.0,14.0,221,,,,Fabrics all Fields,,,,,
RFKC1829,4000,4000/1 0.028 18 EPI HYTEN NYLON FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFKC18DH,4000,"NYLON, N6.6 MONOFILAMENT, 4400/1, 18,00",FABR,KC,DH,18,NON,221,59,62.0,18.0,221,,,,Fabrics all Fields,,,,,
RFKC18DHK,4000,"4000D NYLON MONOFILAMENT AT 18EPI 46""",FABR,,,,,0,0,50.0,18.0,0,,,,Fabrics all Fields,,,,,
RFKC18JR,4000,4000/1 0.028 18 EPI HYTEN NYLON FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFKC18WJ,4000,4000/1 0.015 18 EPI HYTEN NYLON FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFKD12,9000,9000/1 0.042 12 EPI HYTEN FABRIC,FABR,,,,,0,0,61.0,0.0,0,,,,Fabrics all Fields,,,,,
RFKD1243,9000,NYLON 66 MONOFILAMENT 9000 DEN 12 EPI,FABR,,,,,0,0,61.0,12.0,0,,,,Fabrics all Fields,,,,,
RFKD12QA,9000,"NYLON, N6.6 MONOFILAMENT, 10000/1, 12,00",FABR,KD,QA,12,NON,221,569,61.0,12.0,221,,,,Fabrics all Fields,,,,,
RFKD12QAO,9000,9000/1 0.042 12 EPI HYTEN FABRIC,FABR,,,,,0,0,59.0,12.0,0,,,,Fabrics all Fields,,,,,
RFKD14GF,9000,"9000, 1, BLANK, 1060, 1499, 826, NYLON 6",FABR,,,,,0,0,1499.0,0.0,0,,,,Fabrics all Fields,,,,,
RFKD15QA,9000,9000/1 0.042 15 EPI HYTEN FABRIC,FABR,,,,,0,0,56.0,15.0,0,,,,Fabrics all Fields,,,,,
RFKG15JR,3800,"3800/1/1 NYLON 6,6 MONOFILAMENT",FABR,,,,,0,0,62.0,15.0,0,,,,Fabrics all Fields,,,,,
RFL00007,1260,"1260/2 0.026 30 EPI NYLON UTICA 46""WIDE",FABR,,,,,0,0,48.0,30.0,0,,,,Fabrics all Fields,,,,,
RFL00027,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,16.0,0,,,,Fabrics all Fields,,,,,
RFL00028,1260,1260/2 0.026 23 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFL00029,1260,1260/2 0.026 26 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFL00030,840,840/2 0.022 33 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFL00031,1890,1890/2 0.031 19 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,19.0,0,,,,Fabrics all Fields,,,,,
RFL00034,1890,1890/2 0.031 19 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,19.0,0,,,,Fabrics all Fields,,,,,
RFL00035,1890,1890/2 0.031 23 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFL00038,1890,1890/2 0.031 23 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFL00039,840,"NYLON, N6, 940/1/2, 12.0/12.0, 27.00 EPI",FABR,LC,MA,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFL00040,1260,"NYLON, N6, 1400/1/2, 10.0/10.0, 25.00 EP",FABR,LF,MA,25,NON,221,79,0.0,25.0,221,,,,Fabrics all Fields,,,,,
RFL00043,1260,"NYLON, N6, 1400/1/2, 10,0/10,0, 26,00 EP",FABR,LF,JA,26,NON,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFLC16,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC16KA,840,"NYLON, N6, 940/1/2, 12,0/12,0, 16,00 EPI",FABR,LC,KA,16,NON,265,78,62.0,16.0,265,,,,Fabrics all Fields,,,,,
RFLC16MA,840,840/2 0.55 16 EPI NYLON 6,FABR,,,,,0,0,1400.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC16QA,840,"NYLON, N6, 940/1/2, 12.0/12.0, 16.00 EPI",FABR,LC,QA,16,NON,221,59,62.0,16.0,221,,,,Fabrics all Fields,,,,,
RFLC16SA,840,840/2 0.56 16 EPI NYLON 6,FABR,,,,,0,0,1448.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC16SD,840,"NYLON, N6, 940/1/2, 12,0/12,0, 16,00 EPI",FABR,LC,SD,16,NON,221,79,57.0,16.0,221,,,,Fabrics all Fields,,,,,
RFLC16UA,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,16.0,0,,,,Fabrics all Fields,,,,,
RFLC16UG,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,16.0,0,,,,Fabrics all Fields,,,,,
RFLC20UA,840,840/2 0.56 20 EPI NYLON 6,FABR,,,,,0,0,1448.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC22PA,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFLC27MA,840,"NYLON, N6, 940/1/2, 12,0/12,0, 27,00 EPI",FABR,LC,MA,27,NON,221,59,1400.0,27.0,221,,,,Fabrics all Fields,,,,,
RFLC30GA,840,840/2 0.56 30 EPI NYLON 6,FABR,,,,,0,0,1448.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC30QA,840,840/2 0.55 30 EPI NYLON 6,FABR,,,,,0,0,1400.0,0.0,0,,,,Fabrics all Fields,,,,,
RFLC33JA,840,840/2 0.022 33 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFLC33PA,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFLF18JA,1260,1260/2 0.026 18 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
