PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
1001,363,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
1001,363,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
1001,363,117,NZTSD,New Zealand Toxic Substances Database,,
2388,2241,90,MSDS,MSDS Requirement,MSDS,
184,41,90,MSDS,MSDS Requirement,MSDS,
184,41,91,TSCA,TSCA Certificate,TSCA,
184,41,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
184,41,109,CEPA,Canadian Environmental Protection Act,,
184,41,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
184,41,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
184,41,112,AICS,Australian Inventory of chemical Substances,ELINCS,
184,41,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
184,41,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
184,41,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
184,41,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
184,41,117,NZTSD,New Zealand Toxic Substances Database,,
433,146,90,MSDS,MSDS Requirement,MSDS,
433,146,91,TSCA,TSCA Certificate,TSCA,
433,146,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
433,146,109,CEPA,Canadian Environmental Protection Act,,
433,146,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
433,146,111,ELINCS,European REACH,CEPAN,
433,146,112,AICS,Australian Inventory of chemical Substances,ELINCS,
433,146,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
433,146,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
433,146,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
433,146,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
433,146,117,NZTSD,New Zealand Toxic Substances Database,,
7701,3221,90,MSDS,MSDS Requirement,MSDS,
7701,3221,91,TSCA,TSCA Certificate,TSCA,
7701,3221,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
7701,3221,109,CEPA,Canadian Environmental Protection Act,,
7701,3221,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,Polymer exemption.
7701,3221,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
7701,3221,112,AICS,Australian Inventory of chemical Substances,ELINCS,
7701,3221,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
7701,3221,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
7701,3221,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
7701,3221,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
7701,3221,117,NZTSD,New Zealand Toxic Substances Database,,
811,211,90,MSDS,MSDS Requirement,MSDS,
811,211,91,TSCA,TSCA Certificate,TSCA,
811,211,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
811,211,109,CEPA,Canadian Environmental Protection Act,,
811,211,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
811,211,111,ELINCS,European REACH,CEPAN,
811,211,112,AICS,Australian Inventory of chemical Substances,ELINCS,
811,211,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
811,211,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
811,211,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
811,211,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
811,211,117,NZTSD,New Zealand Toxic Substances Database,,
802,202,90,MSDS,MSDS Requirement,MSDS,
802,202,91,TSCA,TSCA Certificate,TSCA,
802,202,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
802,202,109,CEPA,Canadian Environmental Protection Act,,
802,202,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
802,202,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
802,202,112,AICS,Australian Inventory of chemical Substances,ELINCS,
802,202,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
802,202,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
802,202,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
802,202,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
802,202,117,NZTSD,New Zealand Toxic Substances Database,,
804,204,90,MSDS,MSDS Requirement,MSDS,
804,204,91,TSCA,TSCA Certificate,TSCA,
804,204,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
804,204,109,CEPA,Canadian Environmental Protection Act,,
804,204,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
804,204,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
804,204,112,AICS,Australian Inventory of chemical Substances,ELINCS,
804,204,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
804,204,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
804,204,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
804,204,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
804,204,117,NZTSD,New Zealand Toxic Substances Database,,
808,209,90,MSDS,MSDS Requirement,MSDS,
808,209,91,TSCA,TSCA Certificate,TSCA,
808,209,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
808,209,109,CEPA,Canadian Environmental Protection Act,,
808,209,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
808,209,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
808,209,112,AICS,Australian Inventory of chemical Substances,ELINCS,
808,209,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
808,209,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
808,209,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
808,209,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
808,209,117,NZTSD,New Zealand Toxic Substances Database,,
801,242,90,MSDS,MSDS Requirement,MSDS,
801,242,91,TSCA,TSCA Certificate,TSCA,
801,242,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
801,242,109,CEPA,Canadian Environmental Protection Act,,
801,242,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
801,242,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
801,242,112,AICS,Australian Inventory of chemical Substances,ELINCS,
801,242,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
801,242,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
801,242,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
801,242,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
801,242,117,NZTSD,New Zealand Toxic Substances Database,,
812,212,90,MSDS,MSDS Requirement,MSDS,
812,212,91,TSCA,TSCA Certificate,TSCA,
812,212,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
812,212,109,CEPA,Canadian Environmental Protection Act,,
812,212,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
812,212,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
812,212,112,AICS,Australian Inventory of chemical Substances,ELINCS,
812,212,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
812,212,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
812,212,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
812,212,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
812,212,117,NZTSD,New Zealand Toxic Substances Database,,
825,225,90,MSDS,MSDS Requirement,MSDS,
825,225,91,TSCA,TSCA Certificate,TSCA,
825,225,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
825,225,109,CEPA,Canadian Environmental Protection Act,,
825,225,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
825,225,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
825,225,112,AICS,Australian Inventory of chemical Substances,ELINCS,
825,225,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
825,225,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
825,225,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
825,225,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
825,225,117,NZTSD,New Zealand Toxic Substances Database,,
887,307,90,MSDS,MSDS Requirement,MSDS,
887,307,91,TSCA,TSCA Certificate,TSCA,
