MATERIAL_CODE_ID,PGM_ID,PROP_PLANT_TRIAL,PROPOSED_PLANT_FOR_TRIAL,TIRE_LINE_ID,REGION_ID,PROPOSED_REGION_FOR_TRIAL
105,44100.0,10.0,Napanee,,1.0,North America
105,44234.0,21.0,Luxembourg,,3.0,EMEA
105,29401.0,36.0,Venezuela,,2.0,LA
105,44232.0,49.0,Montlucon,,3.0,EMEA
105,44114.0,8.0,Lawton,,1.0,North America
105,61999.0,49.0,Montlucon,,3.0,EMEA
105,62000.0,18.0,Debica,,3.0,EMEA
105,44236.0,24.0,Sava,,3.0,EMEA
105,45334.0,,,,,
105,127537.0,,,,,
105,127532.0,40.0,Thailand,,4.0,AP
106,,,,,,
107,13009.0,,,,,
108,,,,,,
109,,,,,,
110,12024.0,8.0,Lawton,21.0,1.0,North America
110,13256.0,,,,,
110,19165.0,,,,,
111,11801.0,39.0,Taiwan,,4.0,AP
112,11742.0,,,,,
113,18800.0,40.0,Thailand,,4.0,AP
113,11922.0,39.0,Taiwan,,4.0,AP
113,24189.0,30.0,Americana,22.0,2.0,LA
113,25317.0,30.0,Americana,1.0,2.0,LA
113,15692.0,40.0,Thailand,,4.0,AP
114,22200.0,23.0,Adapazari,,3.0,EMEA
115,15340.0,14.0,ICM*A,,1.0,North America
115,14143.0,14.0,ICM*A,,1.0,North America
115,19410.0,14.0,ICM*A,5.0,1.0,North America
115,25439.0,14.0,ICM*A,,1.0,North America
115,28631.0,14.0,ICM*A,5.0,1.0,North America
115,21271.0,14.0,ICM*A,5.0,1.0,North America
116,,,,,,
117,,,,,,
118,,,,,,
119,2982.0,30.0,Americana,,2.0,LA
120,,,,,,
121,15466.0,40.0,Thailand,4.0,4.0,AP
121,15472.0,40.0,Thailand,4.0,4.0,AP
122,,,,,,
123,3501.0,1.0,Danville,,1.0,North America
123,13260.0,33.0,Colombia,,2.0,LA
124,,,,,,
125,,,,,,
126,,,,,,
127,21706.0,30.0,Americana,,2.0,LA
128,,,,,,
129,,,,,,
130,,,,,,
131,15468.0,40.0,Thailand,4.0,4.0,AP
132,21003.0,,,,,
133,,,,,,
134,,,,,,
135,18017.0,37.0,Malaysia,,4.0,AP
135,15474.0,,,,,
136,15096.0,40.0,Thailand,,4.0,AP
136,18104.0,100.0,Pulandian,,4.0,AP
136,18802.0,46.0,Aurangabad,,4.0,AP
136,21697.0,100.0,Pulandian,,4.0,AP
136,18106.0,46.0,Aurangabad,,4.0,AP
136,15082.0,44.0,Dalian,,4.0,AP
137,,,,,,
138,4624.0,,,,,
138,2890.0,,,,,
138,2889.0,,,,,
138,2888.0,,,,,
138,23369.0,,,,,
138,141570.0,,,,,
138,141629.0,,,,,
138,111215.0,,,,,
138,111216.0,,,,,
138,111217.0,,,,,
138,111218.0,,,,,
138,111219.0,,,,,
138,111220.0,,,,,
139,15187.0,37.0,Malaysia,,4.0,AP
139,15652.0,2.0,Gadsden,,1.0,North America
139,15160.0,47.0,Indonesia,,4.0,AP
139,14014.0,23.0,Adapazari,1.0,3.0,EMEA
139,14015.0,23.0,Adapazari,1.0,3.0,EMEA
139,14016.0,26.0,Fulda,1.0,3.0,EMEA
139,14018.0,27.0,South Africa,1.0,3.0,EMEA
139,13912.0,30.0,Americana,,2.0,LA
139,14017.0,19.0,Philippsburg,1.0,3.0,EMEA
139,14991.0,10.0,Napanee,1.0,1.0,North America
