,PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
345,282,5741,91,TSCA,Y,,,,595.0,EMEA
346,282,5741,110,CEPAD,U,,,,595.0,North America
347,282,5741,110,CEPAD,U,,,,595.0,EMEA
348,282,5741,110,CEPAD,U,,,,595.0,LA
349,282,5741,110,CEPAD,U,,,,595.0,AP
350,282,5741,111,CEPAN,U,,,,595.0,EMEA
351,282,5741,111,CEPAN,U,,,,595.0,LA
352,282,5741,111,CEPAN,U,,,,595.0,North America
353,282,5741,111,CEPAN,U,,,,595.0,AP
354,282,5741,112,ELINCS,U,,,,595.0,EMEA
355,282,5741,112,ELINCS,U,,,,595.0,LA
356,282,5741,112,ELINCS,U,,,,595.0,North America
357,282,5741,112,ELINCS,U,,,,595.0,AP
358,282,5741,113,EINECS,U,,,,595.0,EMEA
359,282,5741,113,EINECS,U,,,,595.0,LA
360,282,5741,113,EINECS,U,,,,595.0,North America
361,282,5741,113,EINECS,U,,,,595.0,AP
362,282,5741,114,KKDIK,U,,,,595.0,North America
363,282,5741,114,KKDIK,U,,,,595.0,LA
364,282,5741,114,KKDIK,U,,,,595.0,EMEA
365,282,5741,114,KKDIK,U,,,,595.0,AP
366,282,5741,116,ENCS,U,,,,595.0,North America
367,282,5741,116,ENCS,U,,,,595.0,LA
368,282,5741,116,ENCS,U,,,,595.0,EMEA
369,282,5741,116,ENCS,U,,,,595.0,AP
370,302,1067,90,MSDS,Y,,,,1059.0,EMEA
371,302,1067,91,TSCA,Y,,,,1059.0,EMEA
372,302,1067,110,CEPAD,Y,,,,1059.0,EMEA
373,302,1067,111,CEPAN,U,,,,1059.0,EMEA
374,302,1067,112,ELINCS,Y,,,,1059.0,EMEA
375,302,1067,113,EINECS,Y,,,,1059.0,EMEA
376,302,1067,114,KKDIK,Y,,,,1059.0,EMEA
377,302,1067,116,ENCS,Y,,,,1059.0,EMEA
378,331,3341,90,MSDS,Y,,,,4021.0,AP
379,331,3341,90,MSDS,Y,,,,4021.0,EMEA
380,331,3341,90,MSDS,Y,,,,4021.0,LA
381,331,3341,90,MSDS,Y,,,,4021.0,North America
382,331,3341,91,TSCA,Y,,,,4021.0,EMEA
383,331,3341,91,TSCA,Y,,,,4021.0,AP
384,331,3341,91,TSCA,Y,,,,4021.0,LA
385,331,3341,91,TSCA,Y,,,,4021.0,North America
386,331,3341,110,CEPAD,Y,,,,4021.0,North America
387,331,3341,110,CEPAD,Y,,,,4021.0,LA
388,331,3341,110,CEPAD,Y,,,,4021.0,EMEA
389,331,3341,110,CEPAD,Y,,,,4021.0,AP
390,331,3341,111,CEPAN,N,,,,4021.0,AP
391,331,3341,111,CEPAN,N,,,,4021.0,EMEA
392,331,3341,111,CEPAN,N,,,,4021.0,LA
393,331,3341,111,CEPAN,N,,,,4021.0,North America
394,331,3341,112,ELINCS,U,,,,4021.0,EMEA
395,331,3341,112,ELINCS,U,,,,4021.0,AP
396,331,3341,112,ELINCS,U,,,,4021.0,LA
397,331,3341,112,ELINCS,U,,,,4021.0,North America
398,331,3341,113,EINECS,Y,,,,4021.0,North America
399,331,3341,113,EINECS,Y,,,,4021.0,LA
400,331,3341,113,EINECS,Y,,,,4021.0,EMEA
401,331,3341,113,EINECS,Y,,,,4021.0,AP
402,331,3341,114,KKDIK,U,,,,4021.0,EMEA
403,331,3341,114,KKDIK,U,,,,4021.0,AP
404,331,3341,114,KKDIK,U,,,,4021.0,LA
405,331,3341,114,KKDIK,U,,,,4021.0,North America
406,331,3341,116,ENCS,U,,,,4021.0,LA
407,331,3341,116,ENCS,U,,,,4021.0,EMEA
408,331,3341,116,ENCS,U,,,,4021.0,AP
409,331,3341,116,ENCS,U,,,,4021.0,North America
410,332,3342,90,MSDS,Y,,,,4042.0,AP
411,332,3342,90,MSDS,Y,,,,4042.0,EMEA
412,332,3342,90,MSDS,Y,,,,4042.0,LA
413,332,3342,90,MSDS,Y,,,,4042.0,North America
414,332,3342,91,TSCA,Y,,,,4042.0,North America
415,332,3342,91,TSCA,Y,,,,4042.0,LA
416,332,3342,91,TSCA,Y,,,,4042.0,AP
417,332,3342,91,TSCA,Y,,,,4042.0,EMEA
418,332,3342,110,CEPAD,Y,,,,4042.0,North America
419,332,3342,110,CEPAD,Y,,,,4042.0,LA
420,332,3342,110,CEPAD,Y,,,,4042.0,EMEA
