PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
244,1041,91,TSCA,Y,,,,1059.0,EMEA
244,1041,109,TSCASEC,N,,,,1059.0,EMEA
244,1041,110,CEPA,Y,,,,1059.0,EMEA
244,1041,111,CEPAN,Y,,,,1059.0,EMEA
244,1041,112,ELINCS,U,,,,1059.0,EMEA
244,1041,113,EINECS,Y,,,,1059.0,EMEA
244,1041,114,KKDIK,Y,,,,1059.0,EMEA
244,1041,116,ENCS,Y,,,,1059.0,EMEA
261,1064,90,MSDS,Y,,,,1059.0,EMEA
261,1064,91,TSCA,Y,,,,1059.0,EMEA
261,1064,109,TSCASEC,Y,,,,1059.0,EMEA
261,1064,110,CEPA,Y,,,,1059.0,EMEA
261,1064,111,CEPAN,N,,,,1059.0,EMEA
261,1064,112,ELINCS,Y,,,,1059.0,EMEA
261,1064,113,EINECS,Y,,,,1059.0,EMEA
261,1064,114,KKDIK,Y,,,,1059.0,EMEA
261,1064,116,ENCS,Y,,,,1059.0,EMEA
262,1065,90,MSDS,Y,,,,1059.0,EMEA
262,1065,91,TSCA,Y,,,,1059.0,EMEA
262,1065,109,TSCASEC,Y,,,,1059.0,EMEA
262,1065,110,CEPA,Y,,,,1059.0,EMEA
262,1065,111,CEPAN,N,,,,1059.0,EMEA
262,1065,112,ELINCS,Y,,,,1059.0,EMEA
262,1065,113,EINECS,Y,,,,1059.0,EMEA
262,1065,114,KKDIK,Y,,,,1059.0,EMEA
262,1065,116,ENCS,Y,,,,1059.0,EMEA
263,1042,90,MSDS,Y,,,,1059.0,EMEA
263,1042,91,TSCA,Y,,,,1059.0,EMEA
263,1042,109,TSCASEC,U,,,,1059.0,EMEA
263,1042,110,CEPA,U,,,,1059.0,EMEA
263,1042,111,CEPAN,U,,,,1059.0,EMEA
263,1042,112,ELINCS,U,,,,1059.0,EMEA
263,1042,113,EINECS,U,,,,1059.0,EMEA
263,1042,114,KKDIK,U,,,,1059.0,EMEA
263,1042,116,ENCS,U,,,,1059.0,EMEA
264,1068,90,MSDS,Y,,,,1059.0,EMEA
264,1068,91,TSCA,Y,,,,1059.0,EMEA
264,1068,109,TSCASEC,Y,,,,1059.0,EMEA
264,1068,110,CEPA,Y,,,,1059.0,EMEA
264,1068,111,CEPAN,N,,,,1059.0,EMEA
