MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS
RAW MATERIAL,0,BESOLITE,"SOLUTION OF 20% BHA, 20% CITRIC ACID, & 60% PROPYLENE GLYCOL",N,EASTMAN CHEMICAL,"Kingsport, TN, USA",Kingsport,TN,USA,TENOX R FOOD GR ANTIOXIDANT,,,,,,,,,BESOLITE,,, , ,N,,NA,Chem Houston,,,Chem Houston
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",Y,SI GROUP,"BETHUNE, FRANCE",BETHUNE,Others,France,SP1068,,,,,,,,,BETHUNIC,,, , ,Y,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,SI GROUP,"Atibaia, SP, Brazil",Atibaia,SP,Brazil,RIBETAK 7521-P,,,,,,,,,BETHUNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,SI GROUP,"Atibaia, SP, Brazil",Atibaia,SP,Brazil,RESINE 7521ERESINE 7521P,,,,,,,,,BETHUNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,SI GROUP,"RIBECOURT, FRANCE",RIBECOURT,Others,France,RESINE 75-21-P,,,,,,,,,BETHUNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,SI GROUP,"Atibaia, SP, Brazil",Atibaia,SP,Brazil,RESINA SP 1068,,,,,,,,,BETHUNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,SI GROUP,Shanghai,Shanghai,Others,China,SP1068,,,,,,,,,BETHUNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,BETHUNIC,"FLAKED, NON-STAINING, UNREACTIVE, 100% PHENOL FORMALDEHYDE RESIN",N,Sumitomo Bakelite,"Genk, Belgium",Genk,Others,Belgium,DUREZ 19900,TLC INGREDIENTS,"Joliet, IL, USA",Joliet,IL,USA,,,,BETHUNIC,,, , ,Y,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,0,BEZILIC,FARM TIRE PRECURE PAINT CONTAINING NO EPDM1,N,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,A-9473,Isogran,Pluederhausen - Baden-Wuerttemberg,Pluederhausen - Baden-Wuerttemberg,Others,Germany,,,,BEZILIC,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
REINFORCEMENT,0,BH17MS,"NYLON 6,6 1400/1/3 8.4X8.4 TPI 17EPI MS",N,HYOSUNG CORPORATION,"Utica, NY, USA",Utica,NY,USA,139BH17MS,,,,,,,,,BH17MS,,, , ,N,,"EMEA, NA",,,,
RAW MATERIAL,0,BIJINIC,3-OCTANOYLTHIO-1-PROPYLTRIETHOXYSILANE,N,MOMENTIVE PERFORMANCE MATERIALS,Texas City,Texas City,TX,USA,NXT SILANE,BEHN MEYER CHEMICAL COMPANY,Bangkok,Bangkok,Others,Thailand,,,,BIJINIC,,, , ,Y,N,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,0,BIJINIC,3-OCTANOYLTHIO-1-PROPYLTRIETHOXYSILANE,N,MOMENTIVE PERFORMANCE MATERIALS,Texas City,Texas City,TX,USA,NXT SILANE,MOMENTIVE PERFORMANCE MATERIALS,"Shanghai, China",Shanghai,Others,China,,,,BIJINIC,,, , ,Y,N,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,0,BIJINIC,3-OCTANOYLTHIO-1-PROPYLTRIETHOXYSILANE,N,MOMENTIVE PERFORMANCE MATERIALS,"Friendly, WV, USA",Friendly,WV,USA,NXT SILANE,BEHN MEYER CHEMICAL COMPANY,Bangkok,Bangkok,Others,Thailand,,,,BIJINIC,,, , ,N,N,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,0,BIKITE,DIMETHYL SILICONE FLUID EMULSION,N,OSI SPECIALTIES,"Sistersville, WV, USA",Sistersville,WV,USA,LE-460,CONTINENTAL CARBON,UNSPECIFIED,unspecified,Others,Others,,,,BIKITE,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,0,BLATNIC,"NON-STAINING SSBR, 15% BOUND STYRENE, 57% VINYL-BD 964 MV)",N,ENEOS Materials Corporation,YOKKAICHI CITY,YOKKAICHI CITY,Others,Japan,SL574,,,,,,,,,BLATNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
