,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
1220,2242,2242,AP,
1221,2246,2246,NA,
1222,2246,2246,LA,
1223,2246,2246,EMEA,
1224,2246,2246,AP,
1225,2274,2274,NA,
1226,2274,2274,LA,
1227,2274,2274,EMEA,
1228,2274,2274,AP,
1229,2282,2282,EMEA,
1230,2355,2355,NA,
1231,2355,2355,LA,
1232,2355,2355,EMEA,
1233,2355,2355,AP,
1234,2397,2397,NA,
1235,2397,2397,LA,
1236,2397,2397,EMEA,
1237,2397,2397,AP,
1238,2422,2422,NA,
1239,2422,2422,LA,
1240,2422,2422,EMEA,
1241,2422,2422,AP,
1242,2525,2525,NA,
1243,2525,2525,LA,
1244,2525,2525,EMEA,
1245,2525,2525,AP,
1246,2662,2662,NA,
1247,2744,2744,,
1248,2781,2781,NA,
1249,2842,2842,AP,
1250,3044,3044,,
1251,3103,3103,NA,
1252,3122,3122,NA,
1253,3124,3124,NA,
1254,3143,3143,NA,
1255,3202,3202,NA,
1256,3261,3261,NA,
1257,3261,3261,LA,
1258,3261,3261,EMEA,
1259,3261,3261,AP,
1260,3282,3282,,
1261,3421,3421,EMEA,
1262,3464,3464,EMEA,
1263,3624,3624,NA,
1264,3624,3624,LA,
1265,3624,3624,EMEA,
1266,3624,3624,AP,
1267,3641,3641,NA,Chem Beaumont
1268,3644,3644,,
1269,3645,3645,,
1270,3650,3650,NA,
1271,3650,3650,LA,
1272,3650,3650,EMEA,
1273,3650,3650,AP,
1274,3661,3661,NA,
1275,3661,3661,LA,
1276,3661,3661,EMEA,
1277,3661,3661,AP,
1278,3667,3667,AP,
1279,3669,3669,NA,
1280,3669,3669,LA,
1281,3669,3669,EMEA,
1282,3669,3669,AP,
1283,3672,3672,EMEA,Montlucon
1284,3673,3673,EMEA,Montlucon
1285,3674,3674,EMEA,Montlucon
1286,3742,3742,NA,
1287,3742,3742,LA,
1288,3742,3742,EMEA,
1289,3742,3742,AP,
1290,3743,3743,LA,
1291,3745,3745,EMEA,Hanau
1292,3747,3747,EMEA,
1293,3748,3748,EMEA,
1294,3749,3749,EMEA,
1295,3761,3761,NA,
1296,3762,3762,,
1297,3782,3782,AP,
1298,3783,3783,NA,
1299,3783,3783,LA,
1300,3783,3783,EMEA,
1301,3783,3783,AP,
1302,3821,3821,NA,
1303,3822,3822,NA,
1304,3823,3823,NA,
1305,3824,3824,NA,
1306,3824,3824,LA,
1307,3824,3824,EMEA,
1308,3824,3824,AP,
1309,2387,2387,LA,
1310,2389,2389,NA,
1311,2389,2389,LA,
1312,2389,2389,EMEA,
1313,2389,2389,AP,
1314,2396,2396,NA,
1315,2396,2396,LA,
1316,2396,2396,EMEA,
1317,2396,2396,AP,
1318,2421,2421,NA,
1319,2421,2421,LA,
1320,2421,2421,EMEA,
1321,2421,2421,AP,
1322,2523,2523,NA,
1323,2641,2641,,
1324,2783,2783,NA,
1325,2783,2783,LA,
1326,2783,2783,EMEA,
1327,2783,2783,AP,
1328,2823,2823,NA,
1329,2886,2886,NA,Union City
1330,2888,2888,,
1331,3001,3001,,
1332,3043,3043,,
1333,3123,3123,NA,
1334,3123,3123,LA,
1335,3123,3123,EMEA,
1336,3123,3123,AP,
1337,3209,3209,NA,
1338,3211,3211,NA,
