PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
18324,60029,/ttspool/mis/1360696141021_Polymer_Studies - 10770-326.xls,11890,170,On clicking of 'Submit Button',F
18327,60041,/ttspool/mis/1360782356215_MSDS G3027 for PBd.pdf,11893,170,On clicking of 'Submit Button',F
18327,60042,/ttspool/mis/1360782389029_AMS Feasibility Study Polymers.xlsx,11893,170,On clicking of 'Submit Button',F
18328,60043,/ttspool/mis/1360782527971_MSDS G3027 for PBd.pdf,11894,170,On clicking of 'Submit Button',F
18328,60044,/ttspool/mis/1360782547364_AMS Feasibility Study Polymers.xlsx,11894,170,On clicking of 'Submit Button',F
18329,60045,/ttspool/mis/1360782663889_MSDS G3027 for PBd.pdf,11895,170,On clicking of 'Submit Button',F
18329,60046,/ttspool/mis/1360782663890_AMS Feasibility Study Polymers.xlsx,11895,170,On clicking of 'Submit Button',F
18338,60883,/ttspool/mis/1362558299707_Shikoku Mucron OT-20 TDS_MSDS.pdf,11898,1010,Attach MSDS,F
18338,63362,/ttspool/mis/1367938312956_Shikoku Mucron OT-20 TDS_MSDS.pdf,11898,4,Supplier Information,F
18338,66561,/ttspool/mis/1375794251196_Good Year 1307.pdf,11898,1010,Attach MSDS,F
18338,66562,/ttspool/mis/1375794251342_REACH Certification1307.pdf,11898,1010,Attach MSDS,F
14157,33601,/ttspool/mis/1305200202014_TDS.pdf,11901,212,COA Received,F
14514,37081,/ttspool/mis/1311621374917_X0007778 purchase spec.doc,11901,47,on click of 'Send Mail' available in the Spec Section,F
14514,37183,/ttspool/mis/1311775033598_X0007778.html,11901,50,on click of 'Send Mail Button' available in Add SAP Section,F
12361,56702,/ttspool/mis/1353342225000_2012902792 - VT Fayetteville.xlsx,11901,56,Lab Test Required,F
14514,37281,Notes://AHQNA401/852565FB00409DDC/EC59EE7EC05C9F638525658A00104042/ED14D463CD7445A8852578DB004F2CE7,11901,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
12361,56703,Notes://AHQNA401/852578B200665F25/0686A0FF083CA050C125662E006810F4/852578B200665F2585257AB500494FFE,11901,56,Lab Test Required,U
12361,58422,Notes://AHQNA401/85257A640063D619/0686A0FF083CA050C125662E006810F4/85257A640063D61985257AAF006E53CB,11901,59,Plant Trial Completed Successfully,U
18343,60161,/ttspool/mis/1361198767873_CIRF.BP-161.pdf,11905,170,On clicking of 'Submit Button',F
18343,60163,/ttspool/mis/1361198767875_E-TF12 RHENODIV BP-161  00eng.pdf,11905,170,On clicking of 'Submit Button',F
18343,60162,/ttspool/mis/1361198767875_S-TF12  RHENODIV BP-161  00eng .pdf,11905,170,On clicking of 'Submit Button',F
14353,37861,/ttspool/mis/1312995520878_X0007777 spec.doc,11921,47,on click of 'Send Mail' available in the Spec Section,F
14353,43301,/ttspool/mis/1326203490416_X0007777.html,11921,50,on click of 'Send Mail Button' available in Add SAP Section,F
18357,63301,/ttspool/mis/1367585804427_REACH Certification 2012 GY form Apr 17 2013.doc,11921,170,On clicking of 'Submit Button',F
18357,63302,/ttspool/mis/1367585824908_OR BD Feb 2010.pdf,11921,170,On clicking of 'Submit Button',F
18357,63304,/ttspool/mis/1367585862368_MSDS UBEPOL VCR Series US 12Jan2012.pdf,11921,170,On clicking of 'Submit Button',F
18357,63305,/ttspool/mis/1367585873353_MSDS UBEPOL VCR Series EU Rev5 30Aug2012.pdf,11921,170,On clicking of 'Submit Button',F
18357,65961,/ttspool/mis/1374499050615_VCR617_REACH_2013 CIRF rev 14Jan2013 (3).xlsx,11921,170,On clicking of 'Submit Button',F
13753,33703,/ttspool/mis/1305288042859_GA04AnalysisData.pdf,11923,212,COA Received,F
14503,41421,/ttspool/mis/1321295837823_X0007750 COA.pdf,11924,212,COA Received,F
18362,60222,/ttspool/mis/1361282741818_DXC-004G MSDS.pdf,11927,170,On clicking of 'Submit Button',F
18363,60223,/ttspool/mis/1361282872435_DXC-004G MSDS.pdf,11928,170,On clicking of 'Submit Button',F
18364,60224,/ttspool/mis/1361282977868_DXC-004G MSDS.pdf,11929,170,On clicking of 'Submit Button',F
18365,60226,/ttspool/mis/1361283123301_DXC-004G MSDS.pdf,11930,170,On clicking of 'Submit Button',F
18381,65644,/ttspool/mis/1373544610552_MSDS - RCB - 05-06- 2012 - English.pdf,11937,1010,Attach MSDS,F
14276,34702,/ttspool/mis/1306958310346_2011900685 - New Source Continental Sun Ray N550 Code 228 in N1657.xls,11941,46,Physical Test Completed,F
6281,37301,/ttspool/mis/1311866141001_X0007198 Na mentholate spec.doc,11941,226,on click of 'Send Mail' available in the Spec Section,F
6281,37482,/ttspool/mis/1312379373593_X0007198.html,11941,223,on click of 'Send Mail Button' available in Add SAP Section,F
14276,34703,Notes://AHQNA401/852576BF006F2CA7/0686A0FF083CA050C125662E006810F4/852576BF006F2CA78525784D006712DB,11941,158,Chemical Test Not Complete,U
14405,33676,/ttspool/mis/1305225757543_BL104 COA 20110406.pdf,11942,42,COA Received,F
18394,61062,/ttspool/mis/1362753785081_MSDS IP-7050 (eu).pdf,11951,170,On clicking of 'Submit Button',F
18394,61063,/ttspool/mis/1362753785096_REACH Certification_IP-7050_ 2013_02_25.pdf,11951,170,On clicking of 'Submit Button',F
18394,61064,/ttspool/mis/1362753785097_BLANK CIRF FORM_IP-7050.xls,11951,170,On clicking of 'Submit Button',F
18395,61101,/ttspool/mis/1362989331259_MSDS MK-221 (eu).pdf,11952,170,On clicking of 'Submit Button',F
18395,61103,/ttspool/mis/1362989331260_BLANK CIRF FORM_MK-221.xls,11952,170,On clicking of 'Submit Button',F
