PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
182,143,116,ENCS,Y,,LA,,Taiwan Existing and New Chemical Notification
182,143,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
182,143,116,ENCS,Y,,AP,,Taiwan Existing and New Chemical Notification
184,41,90,MSDS,Y,,North America,,MSDS Requirement
184,41,91,TSCA,Y,,North America,,TSCA Certificate
184,41,110,CEPAD,Y,,North America,,European Inventory of Existing Commercial Chemical
184,41,111,CEPAN,Y,,North America,ELINCS not REACH: ,European REACH
184,41,112,ELINCS,U,,North America,,Australian Inventory of chemical Substances
184,41,113,EINECS,U,,North America,,Japanese Existing and New Chemical substances
184,41,114,KKDIK,U,,North America,,Korean Existing Chemicals Inventory
184,41,116,ENCS,U,,North America,,Taiwan Existing and New Chemical Notification
185,241,90,MSDS,Y,,North America,,MSDS Requirement
185,241,91,TSCA,Y,,North America,,TSCA Certificate
185,241,110,CEPAD,U,,North America,,European Inventory of Existing Commercial Chemical
185,241,111,CEPAN,U,,North America,,European REACH
185,241,112,ELINCS,Y,,North America,,Australian Inventory of chemical Substances
185,241,113,EINECS,Y,,North America,,Japanese Existing and New Chemical substances
185,241,114,KKDIK,N,,North America,,Korean Existing Chemicals Inventory
185,241,116,ENCS,Y,,North America,,Taiwan Existing and New Chemical Notification
241,1061,90,MSDS,Y,,EMEA,,MSDS Requirement
241,1061,91,TSCA,Y,,EMEA,,TSCA Certificate
241,1061,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
241,1061,111,CEPAN,U,,EMEA,,European REACH
241,1061,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
241,1061,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
241,1061,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
241,1061,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
242,1062,90,MSDS,Y,,EMEA,,MSDS Requirement
242,1062,91,TSCA,Y,,EMEA,,TSCA Certificate
242,1062,110,CEPAD,U,,EMEA,,European Inventory of Existing Commercial Chemical
242,1062,111,CEPAN,U,,EMEA,,European REACH
242,1062,112,ELINCS,U,,EMEA,,Australian Inventory of chemical Substances
242,1062,113,EINECS,U,,EMEA,,Japanese Existing and New Chemical substances
242,1062,114,KKDIK,U,,EMEA,,Korean Existing Chemicals Inventory
242,1062,116,ENCS,U,,EMEA,,Taiwan Existing and New Chemical Notification
243,1063,90,MSDS,Y,,EMEA,,MSDS Requirement
243,1063,91,TSCA,Y,,EMEA,,TSCA Certificate
243,1063,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
243,1063,111,CEPAN,N,,EMEA,ELINCS not REACH: ,European REACH
243,1063,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
243,1063,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
243,1063,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
243,1063,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
244,1041,90,MSDS,Y,,EMEA,,MSDS Requirement
244,1041,91,TSCA,Y,,EMEA,,TSCA Certificate
244,1041,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
244,1041,111,CEPAN,Y,,EMEA,ELINCS not REACH: ,European REACH
244,1041,112,ELINCS,U,,EMEA,,Australian Inventory of chemical Substances
244,1041,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
244,1041,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
244,1041,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
261,1064,90,MSDS,Y,,EMEA,,MSDS Requirement
261,1064,91,TSCA,Y,,EMEA,,TSCA Certificate
261,1064,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
261,1064,111,CEPAN,N,,EMEA,ELINCS not REACH: ,European REACH
261,1064,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
261,1064,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
261,1064,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
261,1064,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
262,1065,90,MSDS,Y,,EMEA,,MSDS Requirement
262,1065,91,TSCA,Y,,EMEA,,TSCA Certificate
262,1065,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
262,1065,111,CEPAN,N,,EMEA,ELINCS not REACH: ,European REACH
262,1065,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
262,1065,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
262,1065,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
262,1065,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
263,1042,90,MSDS,Y,,EMEA,,MSDS Requirement
263,1042,91,TSCA,Y,,EMEA,,TSCA Certificate
263,1042,110,CEPAD,U,,EMEA,,European Inventory of Existing Commercial Chemical
263,1042,111,CEPAN,U,,EMEA,,European REACH
263,1042,112,ELINCS,U,,EMEA,,Australian Inventory of chemical Substances
263,1042,113,EINECS,U,,EMEA,,Japanese Existing and New Chemical substances
263,1042,114,KKDIK,U,,EMEA,,Korean Existing Chemicals Inventory
263,1042,116,ENCS,U,,EMEA,,Taiwan Existing and New Chemical Notification
264,1068,90,MSDS,Y,,EMEA,,MSDS Requirement
264,1068,91,TSCA,Y,,EMEA,,TSCA Certificate
264,1068,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
264,1068,111,CEPAN,N,,EMEA,ELINCS not REACH: ,European REACH
264,1068,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
264,1068,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
264,1068,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
264,1068,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
265,1069,90,MSDS,Y,,EMEA,,MSDS Requirement
265,1069,91,TSCA,Y,,EMEA,,TSCA Certificate
265,1069,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
265,1069,111,CEPAN,N,,EMEA,ELINCS not REACH: ,European REACH
265,1069,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
265,1069,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
265,1069,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
265,1069,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
266,1066,90,MSDS,Y,,EMEA,,MSDS Requirement
266,1066,91,TSCA,Y,,EMEA,,TSCA Certificate
266,1066,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
266,1066,111,CEPAN,Y,,EMEA,ELINCS not REACH: ,European REACH
266,1066,112,ELINCS,N,,EMEA,,Australian Inventory of chemical Substances
266,1066,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
266,1066,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
266,1066,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
281,161,90,MSDS,Y,,,,MSDS Requirement
281,161,91,TSCA,Y,,,,TSCA Certificate
281,161,110,CEPAD,Y,,,,European Inventory of Existing Commercial Chemical
281,161,111,CEPAN,U,,,,European REACH
281,161,112,ELINCS,N,,,,Australian Inventory of chemical Substances
281,161,113,EINECS,N,,,,Japanese Existing and New Chemical substances
281,161,114,KKDIK,N,,,,Korean Existing Chemicals Inventory
281,161,116,ENCS,Y,,,,Taiwan Existing and New Chemical Notification
282,5741,90,MSDS,Y,,EMEA,,MSDS Requirement
282,5741,90,MSDS,Y,,LA,,MSDS Requirement
282,5741,90,MSDS,Y,,North America,,MSDS Requirement
282,5741,90,MSDS,Y,,AP,,MSDS Requirement
282,5741,91,TSCA,Y,,North America,,TSCA Certificate
282,5741,91,TSCA,Y,,LA,,TSCA Certificate
282,5741,91,TSCA,Y,,AP,,TSCA Certificate
282,5741,91,TSCA,Y,,EMEA,,TSCA Certificate
282,5741,110,CEPAD,U,,North America,,European Inventory of Existing Commercial Chemical
