SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IP_VERSION,IP_SHORT_DESC,IC_ORDER
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,MIS Migrated Data,,ipMISMigration,6
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,MIS Migrated Data,,ipMISMigration,6
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,MIS Migrated Data,,ipMISMigration,6
RFW00044,1,Supplier,KISWIRE,YANGSAN,,,241CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,BEKAERT,SHENYANG BSSC,,,BL01FP,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,ipMISMigration,6
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,ipMISMigration,6
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,MIS Migrated Data,,ipMISMigration,6
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,MIS Migrated Data,,ipMISMigration,6
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,MIS Migrated Data,,ipMISMigration,6
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,MIS Migrated Data,,ipMISMigration,6
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,ipMISMigration,6
RF0041582,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,ipMISMigration,6
RF0041590,1,Supplier,BEKAERT,SHENYANG BSSC,,,,MIS Migrated Data,,ipMISMigration,6
RF0041619,1,Supplier,KISWIRE,QINGDAO,,,246CH,MIS Migrated Data,,ipMISMigration,6
RF0041817,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,MIS Migrated Data,,ipMISMigration,6
RF0041826,1,Supplier,JIAXING EASTERN,,,,,MIS Migrated Data,,ipMISMigration,6
RF0043059,1,Supplier,CELIK HALAT,IZMIT,,,031CH,MIS Migrated Data,,ipMISMigration,6
RFS00090,1,Supplier,JIAXING EASTERN,ZHEJIANG,,,Y101FP,MIS Migrated Data,,ipMISMigration,6
RF0044389,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,,MIS Migrated Data,,ipMISMigration,6
RF0045664,1,Supplier,BMZ,MICORD,,,,MIS Migrated Data,,ipMISMigration,6
RF0046962,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,,,,MIS Migrated Data,,ipMISMigration,6
RFW00044,1,Supplier,KISWIRE,YANGSAN,,,241CH,MIS Migrated Data,,ipMISMigration,6
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,TREFILARBED,CHANGWON,,,F501FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
